segment,index,x,y,yaw
0,0,0.2000,0.0000,3.1416
0,1,-0.1500,0.0000,2.9997
0,2,-0.5000,0.0500,2.8633
0,3,-0.8500,0.1500,3.1416
0,4,-1.2000,0.1500,3.1416
0,5,-1.5500,0.1500,3.1416
0,6,-1.9000,0.1500,3.1416
0,7,-2.2500,0.1500,3.1416
0,8,-2.6000,0.1500,3.1416
0,9,-2.9500,0.1500,3.1416
0,10,-3.3000,0.1500,3.1416
0,11,-3.6500,0.1500,-2.9997
0,12,-4.0000,0.1000,3.1416
0,13,-4.3500,0.1000,3.1416
0,14,-4.7000,0.1000,3.1416
0,15,-5.0500,0.1000,3.1416
0,16,-5.4000,0.1000,3.1416
0,17,-5.7500,0.1000,2.9997
0,18,-6.1000,0.1500,3.1416
0,19,-6.4500,0.1500,-2.5536
0,20,-6.7500,-0.0500,-1.5708
0,21,-6.7500,-0.4000,-1.5708
0,22,-6.7500,-0.7500,-1.5708
0,23,-6.7500,-1.1000,-1.5708
0,24,-6.7500,-1.4500,-1.5708
0,25,-6.7500,-1.8000,-1.5708
0,26,-6.7500,-2.1500,-1.5708
0,27,-6.7500,-2.5000,-1.5708
0,28,-6.7500,-2.8500,-1.5708
0,29,-6.7500,-3.2000,-1.5708
0,30,-6.7500,-3.5500,-1.7127
0,31,-6.8000,-3.9000,-1.7127
0,32,-6.8500,-4.2500,-1.5708
0,33,-6.8500,-4.6000,-1.5708
0,34,-6.8500,-4.9500,-1.5708
0,35,-6.8500,-5.3000,-1.5708
0,36,-6.8500,-5.6500,-1.5708
0,37,-6.8500,-6.0000,-1.4289
0,38,-6.8000,-6.3500,-1.4289
0,39,-6.7500,-6.7000,-1.5708
0,40,-6.7500,-7.0500,-1.5708
0,41,-6.7500,-7.4000,-1.5708
0,42,-6.7500,-7.7500,-1.5708
0,43,-6.7500,-8.1000,-1.5708
0,44,-6.7500,-8.4500,-1.5708
0,45,-6.7500,-8.8000,-1.5708
0,46,-6.7500,-9.1500,-1.5708
0,47,-6.7500,-9.5000,-1.5708
0,48,-6.7500,-9.8500,-1.5708
0,49,-6.7500,-10.2000,-1.5708
0,50,-6.7500,-10.5500,-1.5708
0,51,-6.7500,-10.9000,-1.5708
0,52,-6.7500,-11.2500,-1.5708
0,53,-6.7500,-11.6000,-1.5708
0,54,-6.7500,-11.9500,-1.5708
0,55,-6.7500,-12.3000,-1.5708
0,56,-6.7500,-12.6500,-1.5708
0,57,-6.7500,-13.0000,-1.5708
0,58,-6.7500,-13.3500,-1.5708
0,59,-6.7500,-13.7000,-1.5708
0,60,-6.7500,-14.0500,-1.5708
0,61,-6.7500,-14.4000,-1.5708
